Небесное величие
Двуручный меч, символ власти Двалина над небесами. Дыхание дракона питает его силой небес и ветров.
 Храбрость, пошатнувшая небеса. Злой дракон, родившийся в древнем королевстве Бездны, был лишён своих крыльев гордым слугой ветров.  В далеком прошлом злой дракон Дурин пожелал завладеть славными землями Мондштадта и напал на город, чтобы уничтожить всё живое. Стенания опустевших без людей лесов и полей пробудили спавшего глубоко в лесу Архонта Ветра. Он услышал мольбы людей, воплотился и призвал в этот мир своего верного друга. Архонт, защищавший жизнь и свободу, выступил против зла плечом к плечу с драконом ветра.  В ожесточённом бою, сотрясшем небеса, дракон ветра раскинул свои шесть благословлённых Архонтом крыльев. Подобно тому, как клинок разрезает воздух, дракон ветра вспорол стальную чешую Дурина. Посреди ожесточенной схватки дракон ветра, взмахнув острыми, как ветер, когтями, Пронзил тело Дурина, глубоко вогнав клинки-когти в его гнилую плоть.  Это сражение пошатнуло небеса, и даже бесстрашное солнце задрожало от ужаса. Наконец, Двалин острыми клыками разорвал глотку Дурина. Дракон ветра, благословлённый Архонтом, одержал победу, защитил Мондштадт и его жителей. Но сам он по неосторожности глотнул ядовитой крови Дурина, и она медленно отравляла его тело до мозга костей.  Двалин стал героем, но был вынужден коротать дни в одиночестве. Яд, разъедающий его тело, порождал злобу. Дракон ветра сбился с пути и поддался искушениям Бездны. Двалин обратился во зло. Но слепая ярость и яд причиняли ему немыслимые страдания, пока не пришёл его бывший хозяин и не утолил боль. Близкий друг и новые знакомые, благодаря своей храбрости изгнавшие зло, восстановили честное имя дракона ветра.  За те столетия, пока дракон спал, люди Мондштадта успели позабыть о славных деяниях Двалина. Но благодаря недавним событиям они вспомнили о своём шестикрылом защитнике. Благословлённый Архонтом Ветра, ведомый песнями Барбатоса, Окружённый тысячей вольных ветров Двалин, наконец, вновь воспарил в небесах. 
Дракон, пронзивший небо
Увеличивает наносимый урон на <color=#99FFFFFF>8%</color>. После активации взрыва стихий попадания обычными или заряженными атаками запускают неосязаемое лезвие, которое наносит <color=#99FFFFFF>80%</color> урона всем врагам на своём пути. Длится 20 сек. или 8 неосязаемых лезвий.
Дракон, пронзивший небо
Увеличивает наносимый урон на <color=#99FFFFFF>10%</color>. После активации взрыва стихий попадания обычными или заряженными атаками запускают неосязаемое лезвие, которое наносит <color=#99FFFFFF>100%</color> урона всем врагам на своём пути. Длится 20 сек. или 8 неосязаемых лезвий.
Дракон, пронзивший небо
Увеличивает наносимый урон на <color=#99FFFFFF>12%</color>. После активации взрыва стихий попадания обычными или заряженными атаками запускают неосязаемое лезвие, которое наносит <color=#99FFFFFF>120%</color> урона всем врагам на своём пути. Длится 20 сек. или 8 неосязаемых лезвий.
Дракон, пронзивший небо
Увеличивает наносимый урон на <color=#99FFFFFF>14%</color>. После активации взрыва стихий попадания обычными или заряженными атаками запускают неосязаемое лезвие, которое наносит <color=#99FFFFFF>140%</color> урона всем врагам на своём пути. Длится 20 сек. или 8 неосязаемых лезвий.
Дракон, пронзивший небо
Увеличивает наносимый урон на <color=#99FFFFFF>16%</color>. После активации взрыва стихий попадания обычными или заряженными атаками запускают неосязаемое лезвие, которое наносит <color=#99FFFFFF>160%</color> урона всем врагам на своём пути. Длится 20 сек. или 8 неосязаемых лезвий.
